视频文件地址,视频ocr结果,视频asr结果,是否违规,线索内容,商品类别,获取时间,直播间链接,直播间名称
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_190.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,叶红色就补充到了十点八毫克的一个叶黄素质了所以大家都可以放心的去拍放心的去买好不好来这边家人们一号链接大家抓紧刷新手速一天只需要吃两颗咱们家叶黄素就相当于咱们一天吃了七根胡萝卜和一百四十二克的西兰花和四十克的芹菜和五斤蓝莓你要知道你光是买五斤蓝莓你都不止咱们一号链接这个价格对不对来主播给大家讲一下咱们电机制哦大家平时确实咱们线下咱们去某样某店都可以去看咱一瓶都是九十九一瓶的一个价格今天在主播直播间直接来给大家九块九来炸一波好不好来新进来这边家们一号链接大家抓紧刷新手速直接去拍就可以了好不好最后简单库存拍完秒完主播就直接下播了咱们评审一天只需要吃那么一两片不分早中晚饭前吃饭后吃都是可以的好不好来这位朋友问怎么吃对不对主播教一下大怎么吃嗷如果说哥姐姐们我们单纯的只是用眼过度有些干干涩涩酸胀肿痒的爱揉眼睛爱眨眼睛的眼睛这情况的咱们就一天一片一天一片,否,"{'type': 2, 'content': {'匹配对': {'变体词': '干干涩涩', '原词': '干涩'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_460.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,他选择叶黄素的时候就是选择含量高的啊大家今天拍回去咱们三九的烟火送每一刻都给他喊每一刻都给他喊了五点零四毫克的叶黄素质一天只需要吃两颗咱们家叶黄素就相当于一天咱们补充到了十点八毫克的一好素质了啊一天吃两颗就相当于咱们一天吃了七根胡萝卜和一百四十二克的西兰花和四十克的芹菜和五斤奶妹你要知道光是五斤蓝莓你都不值得都不止咱们一号链接这个价格是不是来主播给大家讲一下咱们电机制哦今天在主播直播间啊咱平时线下都是啊咱平时去某月某店都可以去看哦都是九十九米一瓶的一个价格今天在主播直播间哦直接给大家九块九来炸一波好不好来直播间家人们一号链接咱们抓紧手速直接去拍一号链接已经给大家上好库存大抓抓紧手速刷新去拍就可以了九块九大家就可以判整整一大瓶的叶黄素说实在的九块九穷不了您付不了主播但是咱们拍回去买回去补充道的是咱们这里的,否,"{'type': 1, 'content': {'通用敏感词': '炸一波'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_335.mp4, 华洞三九 999 CR SANJIU 为爱专注 为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 连片件菜 ,对不对来个直播间的哥哥姐姐宿舍里面大爷们发现我们看手机那个字体啊是不是越调越大了对不对大家有没有发现我们需要看那个花花镜啊就照镜子的时候感觉眼睛这里黑黑黄黄昏灼灼的对不对啊这些都是要咱们要去补充叶黄素了真的就是不要让咱们心灵痔疮的一个问题继续去加深继续去上涨了不然到时候你去找白挂挂白挂挂也会跟你说要多补充叶黄素不然你就是花个大几千大几百米去做那个省保送那也不划算对不对所以家人们要去选择一款对咱们心理智商有帮助的一个叶黄素这个是很有必要的啊今天大家拍回去的全部都是咱们九九夜黄素九九叶黄素就是平时华润三九央企出品的就是我们经常在某样母店能看到的九九毛干某暴领同一个品牌都是华润三九出品的华润三九央企大品牌世界五百强咱每一瓶侧面都有正规的防蚊到收到过之后支持大扫码去验证如果说他收到货不是咱们九十九燕黄素可以直接丢垃圾桶主播,否,"{'type': 2, 'content': {'匹配对': {'变体词': '白挂挂', '原词': '医生'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_060.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,工作社交生活我们都是离不开他的家人们所以大家都要重视拍今天到拍回去的全部都是咱们三九九的燕皇干蒙都是同一个品牌都是咱们华润三九出拍放心的去卖啊来家朋友们一号链接最后济南库存库存抓紧不一定有这个价格所以呢大家都抓紧手速抓紧去拍起来啊各位家人朋友问咱们怎么去吃更好对不对来主播给大家讲一下怎么去,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_024.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,好提了家人们所以咱们不去不要让进不要继续让咱们那个心理智商一个漠河蟹继续去加深继续去上涨好不好来一号链接大家抓紧双写手速直接去拍就可以了啊九十九国民大品牌品质是值得信赖的并且咱们全部给大添加的都是有用的成分除了叶黄素质之外我们还给大添加了蓝莓黑枸杞菊花癫维生素 C等等这些都是对咱们眼睛啊特别有一样的一些成分它是可以帮助我们过滤掉平时我们眼睛所见识到电子蓝光可以保护咱们这个眼睛可以保护咱们的一个视网膜它可以更好的被咱们的一个人体去做一个吸某收以及做一个转某化的哦并且咱们家叶黄素是不含这糖不含白都可以放心的去购买每天来上这么一两片啊部分早知晚饭前吃饭后吃都是可以的嚼着汁咬着吃都是没问题,否,"{'type': 2, 'content': {'匹配对': {'变体词': '吸某收', '原词': '吸收'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_266.mp4,华網三九  999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,老毛花的都抓紧时间好不好来一号链接最后抓最后几辆库存抓紧刷些手速直接去排好到尤其是咱们有一些非某挣的朋友啊真的要抓紧时间因为平时啊包括还有一些朋友可能就是刚过了四十岁咱们就感觉老猛花六十来岁朋友一些白某账期末光的都抓紧时间平时你去看个百货挂白过挂也会跟你说要多补充一个叶黄素对不对啊今天大拍回去的全部都是咱们九九夜黄素九,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_433.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,接下来还真不一定有九块九这个价格好不好来一号链接最后两单库存抓紧抓紧手速直接去拍哦先进来直播间家妹有没有需要一号链接的有需要的咱们都抓紧刷新手速直接去拍今天拍下的家人们全部都是给大家安排的咱们九九叶黄素啊九九夜黄素就是我们平时经常在某样某店看到的九十九某干某同一个品牌的都是华润三九出品的今天拍下了咱们每一瓶侧面都有正规的防我二维码收到货之后支持到扫码去验证如果说大收到货不是九六九月黄素可以直接丢垃圾桶主播按照假意赔十的方案赔给大家好不好来这边家人们一号链接大抓紧刷新手速直接去拍周评论怎么吃对不对如果说咱们心理支撑问题比较轻的咱们就一天一片混合题比较多的咱们就一天吃两天就可以了根据咱们一个情况啊然后大家去吃的话就是两到三个月因为两到三个月,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_147.mp4,华潤三九  999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,来直播间家人们主播给大家讲一下今天如果说啊咱平时啊经常长时间的熬夜长时间刷手机长时间看电脑导致咱们眼酸颜色有一些疲劳畏光有红丝丝的有迎风泪的尤其有一些家人朋友可能有些飞某阵眼睛像长得头发丝一样的还有就是刚过了四十二岁咱们就感觉有老某花的包括咱们六十来岁的老年朋友哦有一些白某账亲某光的咱们都抓紧时间了因为平时你去看个白过挂白过怪怪也会跟你说要多补充一个叶黄素对不对今天大拍糊就得全部都是咱们三九的业皇做三九夜黄素品质是值得信赖的除了咱们给大家添加了叶黄素质之外我们还给他添,否,"{'type': 2, 'content': {'匹配对': {'变体词': '老某花', '原词': '老花'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_572.mp4,华潤三九  999 CR SANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,变黄素质会更好呢因为叶黄素指它比叶黄素它的一个吸沫时候更加的稳定比方说咱们给大家含了五点零四毫克每一颗都含了五点零四好看的焰火速止对不对叶黄素质就是你吃进去多少咱补充到这里的就是多少叶黄素质它比叶黄素更加的吻合定了啊所以咱们每一可用红素全部咱家一号链接全部给它含的是叶黄素质哦所以大家要选择叶黄素质真的就是第一选择含量高第二选择大品牌好不好来准备加们一号链接大家抓紧刷新手速直接去拍就可以了啊主播给大家讲一下尤其是咱们直播间有一些四十来岁五十来岁六十来岁的哥哥姐姐们咱们都要注意起来因为这个年龄阶段啊咱们正在处于心灵之窗温和体力一个高发期哦俗话说得好人老先老眼对不对叶黄素咱们是月早吃越好啊不要等到哥哥姐姐受伤一门等咱们那个心理装出现了什么各种各小题崽崽就后悔就来不及了好不好来这边叫人们一号链接最后几辆库存大可以先去拍拍完回来有什么不懂的再回来问主播都是没问题的,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_077.mp4, 华洞三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,谈判白砂糖的不含糖姐们大家都可以放心的去拍放心的去哦部分早中晚饭前吃饭后吃都是没有问题的嚼着吃咬着吃都是可以的酸酸甜甜的一个口感和小朋友大到百岁以上的老人都是可以都可都可以去吃啊因为咱平时只是用眼过度有些疲劳有些干干涩痒眼睛有畏光有红丝丝淫风泪啊有些青某光白某症要带咱们的一个静静框框的咱们就一天多加一片一天吃两片一天吃两片咱们作为一个日常的补充作为一个日常的这两片就是主动的初季主动的开主动的一个干预对不对,否,"{'type': 2, 'content': {'匹配对': {'变体词': '青某光', '原词': '青光眼'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_310.mp4, 华潤三九 999 CR SANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,有各种各样的一些小问和小题啊什么模模糊这些都出现了咱们再去后悔真的就来不及了好不好所以大家都抓紧手速啊俗话说的好想要马儿跑的快你是不是要给马儿去吃草更何况是咱们那个心灵之窗你汽车没油了你都知道要给车子去加油你手机没电你都这样要给手机去充电那咱们那个眼睛更加重要是不是你要知道咱们平时干什么我们都是离不开我们的心灵痔疮的我们工作社交生活都是离不开他的当我们的心电之窗受到了伤害之后这个伤害是不肯定的家人们所以咱们都要重视起来好不好你要知道你自己的心灵之后你自己的身体是你自己的你自己都不去重视没有人会替你重视的哦来这边家人们一号链接抓紧手速直接去拍就可以了啊最后几单库存哦先进来这边家人们大家抓紧手速先去拍一号链接最后截然库存拍完表完主播就直接下播了拍完回来有什么问题再回来问主播都是没问题的大家拍我去可以先去自己先去体验自己先去感受主播都给大,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
